GEOID,within_dfo,within_aer,sel_sa_tracts
48201551900,1,1,1
48201552400,1,1,1
48201552500,1,1,1
48201532800,1,1,1
48201532900,1,1,1
48201533000,1,1,1
48201542400,1,1,1
48201542500,1,1,1
48201542600,1,1,1
48201542700,1,1,1
48201552700,1,1,1
48201533100,1,1,1
48201533200,1,1,1
48201533300,1,1,1
48201533400,1,1,1
48201533500,1,1,1
48201533600,1,1,1
48271950100,NA,NA,NA
48201542800,1,1,1
48201550100,1,1,1
48201550200,1,1,1
48245001900,1,1,1
48245011001,1,1,1
48245011002,1,1,1
48201552800,1,1,1
48201552900,1,1,1
48133950400,1,NA,1
48133950200,NA,NA,NA
48133950100,NA,NA,NA
48133950300,NA,NA,NA
48133950500,NA,NA,NA
48201553100,1,1,1
48201553300,1,1,1
48201553500,1,1,1
48201553600,1,1,1
48251131000,1,NA,1
48251131100,NA,NA,NA
48251130409,NA,NA,NA
48251130800,NA,NA,NA
48201534100,1,1,1
48201540100,1,1,1
48245002100,1,1,1
48245002200,1,1,1
48245002300,1,1,1
48245002500,1,1,1
48245002600,1,1,1
48245005100,1,1,1
48245005400,1,1,1
48201553700,1,1,1
48201554200,1,1,1
48201554600,1,1,1
48201233200,1,1,1
48201233400,1,1,1
48201233500,1,1,1
48201311000,1,1,1
48201311100,1,1,1
48201311300,1,1,1
48201311400,1,1,1
48201233600,1,1,1
48201240100,1,1,1
48167720400,1,1,1
48167720700,1,1,1
48167720900,1,1,1
48201311500,1,1,1
48201311600,1,1,1
48201240600,1,1,1
48201252000,1,1,1
48201311700,1,1,1
48201311800,1,1,1
48201311900,1,1,1
48201312000,1,1,1
48183001400,NA,NA,NA
48307950300,1,NA,1
48307950400,1,NA,1
48307950500,1,NA,1
48183010400,NA,NA,NA
48183010600,NA,NA,NA
48201252100,1,1,1
48201253000,1,1,1
48201253300,1,1,1
48201253400,1,1,1
48201312100,1,1,1
48201312200,1,1,1
48201312400,1,1,1
48167721000,1,1,1
48167721100,1,1,1
48203020102,NA,NA,NA
48201312500,1,1,1
48201312600,1,1,1
48201241200,1,1,1
48201241300,1,1,1
48201253500,1,1,1
48201253600,1,1,1
48201312700,1,1,1
48201312800,1,1,1
48201312900,1,1,1
48201313100,1,1,1
48201313200,1,1,1
48201313300,1,1,1
48201323900,1,1,1
48217960400,1,NA,1
48217960600,1,NA,1
48217960500,1,NA,1
48217960800,1,NA,1
48217961000,1,NA,1
48217960700,1,NA,1
48217960100,1,NA,1
48217960900,1,NA,1
48217960200,1,NA,1
48217961100,1,NA,1
48201324000,1,1,1
48201330100,1,1,1
48201330200,1,1,1
48201330400,1,1,1
48201330500,1,1,1
48167721300,1,1,1
48167721400,1,1,1
48201330600,1,1,1
48201330700,1,1,1
48201330800,1,1,1
48201320500,1,1,1
48025950500,1,1,1
48201320700,1,1,1
48201320800,1,1,1
48201320900,1,1,1
48201321000,1,1,1
48257051202,NA,NA,NA
48257051201,NA,NA,NA
48201321100,1,1,1
48201321200,1,1,1
