fid,GEOID,NLCD16_WA,DFOfloodArea,DFOfRatio,within_dfo,within_aer,population,fldPopDFO,fldPopPctDFO,Shape_Area
132,48049951200,713951.4325,,,1,,3790,0,0,84701862.39
133,48049950600,20860.76911,,,1,,2034,0,0,6623595.219
134,48049950300,2376787.399,,,1,,2684,0,0,484132845.4
135,48049950200,24747276.13,4976943.21,0.012015902,1,,3918,311,0.079377233,438943657.3
136,48049950900,0,,,1,,4017,0,0,4292972.203
137,48049950500,712407.839,,,1,,2588,0,0,163689504.2
138,48201331602,0,41375.23779,0.006940247,1,1,1665,121,0.072672673,5961637.628
139,48201552602,40176.51863,592423.9493,0.113748454,1,1,6116,269,0.043982995,5248370.113
140,48201553802,14494.26719,1970.062874,0.000364183,1,1,8191,0,0,5424039.12
141,48201314400,0,483532.722,0.203697577,1,1,3417,139,0.040678958,2373777.423
142,48201320601,30653.73956,883.6985731,0.000640918,1,1,2450,0,0,1409454.572
143,48201350601,22625.63105,3700449.23,0.278550625,1,1,4212,185,0.043922127,13307281.18
144,48201411502,0,,,1,1,3642,0,0,1826496.547
145,48201431401,0,,,1,1,1498,0,0,363465.2392
146,48201540502,6188.987274,97773.92155,0.027692277,1,1,4988,113,0.02265437,3536917.802
147,48201511301,0,,,1,1,3926,0,0,1801281.202
148,48201554401,110766.7832,2738559.224,0.183484197,1,1,14982,1060,0.070751569,15036080.6
149,48201555502,331686.3692,4166600.417,0.119761504,1,1,24104,1525,0.063267507,35122501.73
150,48201223001,450.5321898,993536.5105,0.317768753,1,1,4070,13,0.003194103,3127052.709
151,48201330303,12994.40771,587679.9191,0.110749044,1,1,3696,147,0.039772727,5319405.035
152,48201334003,0,22100.25569,0.007998855,1,1,6067,14,0.002307566,2762927.43
153,48201343301,25711.28185,815988.0175,0.071042448,1,1,4586,106,0.023113825,11511633.48
154,48201341501,545889.197,38035.6164,0.010199426,1,1,6417,5,0.00077918,4275081.177
155,48201341502,1438064.063,239232.2228,0.071885057,1,1,4046,25,0.006178942,4766046.863
156,48201341301,766315.5607,536617.1216,0.047533605,1,1,4551,237,0.052076467,12055531.36
157,48201340302,0,74781.20579,0.021678047,1,1,6783,157,0.023146101,3449628.224
158,48201551701,0,550214.9885,0.122363545,1,1,8704,508,0.058363971,4496559.671
159,48201551702,0,183665.4987,0.088715695,1,1,3773,244,0.064670024,2070270.617
160,48201534202,0,103098.5326,0.022312317,1,1,8692,91,0.010469397,4620700.474
161,48201540602,21517.93774,380285.4258,0.139187232,1,1,6996,426,0.060891938,2753704.064
162,48251130213,0,,,,,4023,0,0,51581449.53
163,48251130602,2400523.115,120746.9875,0.000738115,1,,2229,3,0.001345895,165988852.3
164,48251130210,0,,,,,5155,0,0,34162312.25
165,48251130304,0,,,,,5170,0,0,28869409.71
166,48251130303,0,,,,,3748,0,0,30055659.09
167,48251130601,1378904.843,,,1,,6656,0,0,241549195.3
168,48251130214,0,,,,,5219,0,0,29782886.3
169,48355002602,0,786583.7221,0.59976244,1,1,2036,640,0.314341847,1311492.079
170,48355002603,0,482639.1297,0.370812416,1,1,3058,809,0.264551995,1301572.193
171,48355003204,0,698413.5716,0.305019796,1,1,4639,366,0.078896314,2289732.021
172,48355003306,0,1122140.604,0.382630914,1,1,4600,813,0.17673913,2932697.171
173,48355003303,0,536534.9782,0.28261131,1,1,1192,136,0.11409396,1898490.741
174,48355003305,0,809991.8994,0.619268298,1,1,4394,2026,0.461083295,1307982.166
175,48201330301,0,236978.5912,0.074586779,1,1,7879,71,0.009011296,3177219.802
176,48201334001,0,198071.7049,0.147545964,1,1,3382,111,0.032820816,1342440.716
177,48201533702,0,,,1,1,3553,0,0,979114.0868
178,48201554501,46773.12637,1998011.646,0.162464574,1,1,5902,922,0.156218231,12344910.83
179,48201343600,13858552.18,10206700.74,0.179139405,1,1,2872,435,0.151462396,70834852.41
180,48201222402,0,287046.1467,0.070718944,1,1,6244,81,0.012972454,4058971.23
181,48201251501,843649.757,892585.3481,0.05051906,1,1,5512,35,0.006349782,18511939.2
182,48201432002,0,22261.2129,0.031686619,1,1,4451,37,0.008312739,702543.0169
183,48201241500,46006.05679,4211318.13,0.12656796,1,1,8289,518,0.06249246,33319183.07
184,48201222501,0,15951.32056,0.017604573,1,1,3784,0,0,906089.5877
185,48201222401,0,449540.0475,0.089070149,1,1,2953,144,0.048763969,5047033.652
186,48201222503,0,99422.93685,0.058566,1,1,7082,188,0.026546173,1697622.116
187,48201431501,0,,,1,1,3989,0,0,1030056.409
